ROW0: ID || Назва || Пріоритет || Критерій прийняття || UC || Компонент
ROW1: FR-01 || Авторизація || Обов'язкова || JWT 8 год, DRV-NNNN || UC-01 || LoginScreen
ROW2: FR-02 || Маршрути || Обов'язкова || Список маршрутів і зупинок || UC-02 || RouteController
ROW3: FR-03 || Створення waybill || Обов'язкова || status=in_progress || UC-02 || WaybillController
ROW4: FR-04 || Завершення рейсу || Обов'язкова || completed_at, stop GPS || UC-06 || ActiveTripScreen
ROW5: FR-05 || Архівування || Бажана || 5 кодів причини || UC-06 || Archive API
ROW6: FR-06 || Інцидент+фото || Обов'язкова || Base64, GPS || UC-05 || IncidentController
ROW7: FR-07 || Редагування || Бажана || version_history || UC-05 || IncidentEditScreen
ROW8: FR-08 || Карта || Обов'язкова || OSM, GeoJSON || UC-03 || TripMapRouteScreen
ROW9: FR-09 || GPS-трекінг || Обов'язкова || кожні 5 с || UC-04 || LocationTrackingService
ROW10: FR-10 || Live API || Бажана || GET /map/live-trips || UC-03 || Map API
ROW11: NFR-01 || Офлайн || Обов'язкова || Room+Worker, batch 100 || — || TelemetrySyncWorker
ROW12: NFR-02 || Безпека || Обов'язкова || JWT, bcrypt || — || AuthController
ROW13: NFR-03 || UX || Обов'язкова || ≥16 sp, ≥64 dp || — || Compose UI
ROW14: NFR-04 || Продуктивність || Обов'язкова || GPS 5 с, sync 15 хв || — || FGS+Worker
